"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH"
dbo,__MigrationLog,migration_id,uniqueidentifier,
dbo,__MigrationLog,script_checksum,nvarchar,64
dbo,__MigrationLog,script_filename,nvarchar,255
dbo,__MigrationLog,complete_dt,datetime2,
dbo,__MigrationLog,applied_by,nvarchar,100
dbo,__MigrationLog,deployed,tinyint,
dbo,__MigrationLog,version,varchar,255
dbo,__MigrationLog,package_version,varchar,255
dbo,__MigrationLog,release_version,varchar,255
dbo,__MigrationLog,sequence_no,int,
dbo,__MigrationLogCurrent,migration_id,uniqueidentifier,
dbo,__MigrationLogCurrent,script_checksum,nvarchar,64
dbo,__MigrationLogCurrent,script_filename,nvarchar,255
dbo,__MigrationLogCurrent,complete_dt,datetime2,
dbo,__MigrationLogCurrent,applied_by,nvarchar,100
dbo,__MigrationLogCurrent,deployed,tinyint,
dbo,__SchemaSnapshot,Snapshot,varbinary,-1
dbo,__SchemaSnapshot,LastUpdateDate,datetime2,
dbo,_DM_BangKyTu,Id,int,
dbo,_DM_BangKyTu,IDLoaiKyTu,int,
dbo,_DM_BangKyTu,BangKyTu,nvarchar,100
dbo,_DM_BangKyTu,GhiChu,nvarchar,200
dbo,_DM_BangKyTu,IsDelete,bit,
dbo,_DM_BangKyTu,NguoiTao,int,
dbo,_DM_BangKyTu,NgayTao,datetime,
dbo,_DM_BangKyTu,NguoiCapNhat,int,
dbo,_DM_BangKyTu,NgayCapNhat,datetime,
dbo,_DM_BangKyTu,DienGiaiCot,nvarchar,500
dbo,_DM_BangKyTu,STT,int,
dbo,_DM_DienUuTienTuyenSinh,Id,int,
dbo,_DM_DienUuTienTuyenSinh,MaDienUuTien,nvarchar,20
dbo,_DM_DienUuTienTuyenSinh,TenDienUuTien,nvarchar,400
dbo,_DM_DienUuTienTuyenSinh,NguoiTao,int,
dbo,_DM_DienUuTienTuyenSinh,NgayTao,datetime,
dbo,_DM_DienUuTienTuyenSinh,NguoiCapNhat,int,
dbo,_DM_DienUuTienTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_HanhKiemThiSinh,Id,int,
dbo,_DM_HanhKiemThiSinh,Ma,varchar,10
dbo,_DM_HanhKiemThiSinh,Ten,nvarchar,50
dbo,_DM_HanhKiemThiSinh,STT,int,
dbo,_DM_HanhKiemThiSinh,NguoiTao,int,
dbo,_DM_HanhKiemThiSinh,NgayTao,datetime,
dbo,_DM_HanhKiemThiSinh,NguoiCapNhat,int,
dbo,_DM_HanhKiemThiSinh,NgayCapNhat,datetime,
dbo,_DM_HanhKiemThiSinh,GhiChu,nvarchar,500
dbo,_DM_HinhThucNopHoSoOnline,Id,int,
dbo,_DM_HinhThucNopHoSoOnline,TenHinhThuc,nvarchar,100
dbo,_DM_HinhThucNopHoSoOnline,GhiChu,nvarchar,200
dbo,_DM_HinhThucNopHoSoOnline,IsVisible,bit,
dbo,_DM_HinhThucNopHoSoOnline,STT,int,
dbo,_DM_HinhThucNopHoSoOnline,NguoiTao,int,
dbo,_DM_HinhThucNopHoSoOnline,NgayTao,datetime,
dbo,_DM_HinhThucNopHoSoOnline,NguoiCapNhat,int,
dbo,_DM_HinhThucNopHoSoOnline,NgayCapNhat,datetime,
dbo,_DM_HocLucThiSinh,Id,int,
dbo,_DM_HocLucThiSinh,Ma,varchar,10
dbo,_DM_HocLucThiSinh,Ten,nvarchar,50
dbo,_DM_HocLucThiSinh,STT,int,
dbo,_DM_HocLucThiSinh,NguoiTao,int,
dbo,_DM_HocLucThiSinh,NgayTao,datetime,
dbo,_DM_HocLucThiSinh,NguoiCapNhat,int,
dbo,_DM_HocLucThiSinh,NgayCapNhat,datetime,
dbo,_DM_HocLucThiSinh,GhiChu,nvarchar,500
dbo,_DM_KhoiTuyenSinh,Id,int,
dbo,_DM_KhoiTuyenSinh,Khoi,nvarchar,200
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh1,int,
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh2,int,
dbo,_DM_KhoiTuyenSinh,IDMonThiTuyenSinh3,int,
dbo,_DM_KhoiTuyenSinh,LanThi,int,
dbo,_DM_KhoiTuyenSinh,GhiChu,nvarchar,200
dbo,_DM_KhoiTuyenSinh,NguoiTao,int,
dbo,_DM_KhoiTuyenSinh,NgayTao,datetime,
dbo,_DM_KhoiTuyenSinh,NguoiCapNhat,int,
dbo,_DM_KhoiTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD1,nvarchar,20
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD2,nvarchar,20
dbo,_DM_KhoiTuyenSinh,MaMonThiBGD3,nvarchar,20
dbo,_DM_LoaiKyTu,Id,int,
dbo,_DM_LoaiKyTu,MaLoaiKyTu,varchar,20
dbo,_DM_LoaiKyTu,TenLoaiKyTu,nvarchar,100
dbo,_DM_LoaiKyTu,GhiChu,nvarchar,200
dbo,_DM_LoaiKyTu,SoLuongTuTang,int,
dbo,_DM_LoaiKyTu,IsDelete,bit,
dbo,_DM_LoaiKyTu,NguoiTao,int,
dbo,_DM_LoaiKyTu,NgayTao,datetime,
dbo,_DM_LoaiKyTu,NguoiCapNhat,int,
dbo,_DM_LoaiKyTu,NgayCapNhat,datetime,
dbo,_DM_MapColumImport,Id,int,
dbo,_DM_MapColumImport,TenCotFileImport,nvarchar,100
dbo,_DM_MapColumImport,TenCotMap,nvarchar,100
dbo,_DM_MapColumImport,GhiChu,nvarchar,-1
dbo,_DM_MonThiTHPT,Id,int,
dbo,_DM_MonThiTHPT,MaMonThi,varchar,10
dbo,_DM_MonThiTHPT,TenMonThi,nvarchar,50
dbo,_DM_MonThiTHPT,STT,int,
dbo,_DM_MonThiTHPT,IsVisible,bit,
dbo,_DM_MonThiTHPT,NguoiTao,int,
dbo,_DM_MonThiTHPT,NgayTao,datetime,
dbo,_DM_MonThiTHPT,NguoiCapNhat,int,
dbo,_DM_MonThiTHPT,NgayCapNhat,datetime,
dbo,_DM_MonThiTuyenSinh,Id,int,
dbo,_DM_MonThiTuyenSinh,MaMonThi,varchar,10
dbo,_DM_MonThiTuyenSinh,TenMonThi,nvarchar,50
dbo,_DM_MonThiTuyenSinh,STT,int,
dbo,_DM_MonThiTuyenSinh,GhiChu,nvarchar,50
dbo,_DM_MonThiTuyenSinh,IsDelete,bit,
dbo,_DM_MonThiTuyenSinh,NguoiTao,int,
dbo,_DM_MonThiTuyenSinh,NgayTao,datetime,
dbo,_DM_MonThiTuyenSinh,NguoiCapNhat,int,
dbo,_DM_MonThiTuyenSinh,NgayCapNhat,datetime,
dbo,_DM_MonThiTuyenSinh,NoiDungThi,nvarchar,500
dbo,_DM_MonThiTuyenSinh,MaMonThiBGD,varchar,10
dbo,_DM_PhanLoaiChiPhiKTX,Id,int,
dbo,_DM_PhanLoaiChiPhiKTX,TenPhanLoai,nvarchar,100
dbo,_DM_PhanLoaiChiPhiKTX,STT,int,
dbo,_DM_PhanLoaiChiPhiKTX,IsVisible,bit,
dbo,_DM_PhanLoaiChiPhiKTX,IDKhoanThu,int,
dbo,_DM_PhanLoaiChiPhiKTX,NguoiTao,int,
dbo,_DM_PhanLoaiChiPhiKTX,NgayTao,datetime,
dbo,_DM_PhanLoaiChiPhiKTX,NguoiCapNhat,int,
dbo,_DM_PhanLoaiChiPhiKTX,NgayCapNhat,datetime,
dbo,_DM_PhanLoaiChiPhiKTX,PhanTramVAT,decimal,
dbo,_DM_PhanLoaiChuyenLopTuDo,Id,int,
