"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
EDU_NUCE,dbo,DT_DangKyHocPhanGhiNo,BASE TABLE
EDU_NUCE,dbo,DT_NC_SinhVienLamDoAnKhoaLuan,BASE TABLE
EDU_NUCE,dbo,ASC_TamUng_DM_CongTacPhi,BASE TABLE
EDU_NUCE,dbo,TKB_DuKienMoLopHocPhan,BASE TABLE
EDU_NUCE,dbo,DT_HB_DangKyXetHocBongNgoaiNganSach,BASE TABLE
EDU_NUCE,dbo,DT_XetHocBongNamHoc,BASE TABLE
EDU_NUCE,dbo,KTX_DieuChuyen,BASE TABLE
EDU_NUCE,dbo,DT_TongKetNamHoc_KQLanDau,BASE TABLE
EDU_NUCE,dbo,CC_MonHoc,BASE TABLE
EDU_NUCE,dbo,DT_KhaiBaoLuanVan,BASE TABLE
EDU_NUCE,dbo,DT_HanhKiemSinhVien,BASE TABLE
EDU_NUCE,dbo,ES_TL_DeThi,BASE TABLE
EDU_NUCE,dbo,DTBD_HoSoHocVien,BASE TABLE
EDU_NUCE,dbo,TKB_KeHoachBanLichLopHoc,BASE TABLE
EDU_NUCE,dbo,DT_ChiTietApDungPhieuDanhGiaRenLuyen,BASE TABLE
EDU_NUCE,dbo,NK_DienBienMienGiam,BASE TABLE
EDU_NUCE,dbo,DM_PhanLoaiThiSinh,BASE TABLE
EDU_NUCE,dbo,HT_ThongBao,BASE TABLE
EDU_NUCE,dbo,_DM_TrangThaiXetTotNghiep,BASE TABLE
EDU_NUCE,dbo,KTX_NguoiONoiTru,BASE TABLE
EDU_NUCE,dbo,DCMH_DeCuongTrangThaiThaoTac,BASE TABLE
EDU_NUCE,dbo,NK_DT_ChuyenLop,BASE TABLE
EDU_NUCE,dbo,TKB_DanhSachLopXepLichHoc,BASE TABLE
EDU_NUCE,dbo,DT_NC_SoBaoDanhThiTotNghiep,BASE TABLE
EDU_NUCE,dbo,HoiDap_LoaiCauHoi,BASE TABLE
EDU_NUCE,dbo,DT_HB_DotXetHocBongNgoaiNganSach,BASE TABLE
EDU_NUCE,dbo,DM_LoaiVanBang,BASE TABLE
EDU_NUCE,dbo,CC_MonThiChungChiAnhVan,BASE TABLE
EDU_NUCE,dbo,KT_KeHoachThuHocPhiTheoKhoaHoc,BASE TABLE
EDU_NUCE,dbo,DT_QuyCheHocBong,BASE TABLE
EDU_NUCE,dbo,ES_TL_LichThiChiTiet,BASE TABLE
EDU_NUCE,dbo,DCMH_DM_ChuanDauRa,BASE TABLE
EDU_NUCE,dbo,DTBD_LopHocHocVien,BASE TABLE
EDU_NUCE,dbo,KT_DeXuatCapNhatHocPhi,BASE TABLE
