"FunctionName","FunctionType","create_date","modify_date"
DecodeUTF8String,SQL_SCALAR_FUNCTION,2021-10-05 19:21:51.293,2023-04-05 23:08:34.610
fn_ABC2UNICODE,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.550,2023-04-05 23:08:34.613
Fn_AD_TinhTBSinhVien,SQL_SCALAR_FUNCTION,2019-02-25 14:58:21.560,2023-04-05 23:08:34.627
Fn_BoDauTiengViet,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.583,2023-04-05 23:08:34.617
Fn_BoDauTiengViet_EXT,SQL_SCALAR_FUNCTION,2019-05-08 08:42:55.973,2023-04-05 23:08:34.683
Fn_BoDauTiengVietToLowerCase,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.617,2025-12-17 16:56:06.803
Fn_BoKyTuDacBiet,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.643,2023-04-05 23:08:34.620
FN_CapPhongLichThi,SQL_TABLE_VALUED_FUNCTION,2018-01-25 14:38:46.683,2018-01-25 14:38:46.697
Fn_CC_GetHeSoBacDaoTao,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.710,2023-04-05 23:08:34.620
Fn_CC_GetHeSoHocVi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.730,2023-04-05 23:08:34.620
Fn_CC_GetHeSoLopDong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.750,2023-04-05 23:08:34.620
Fn_CC_GetHeSoTinChiNienChe,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.767,2023-04-05 23:08:34.623
Fn_CC_GetTietToiTuHocKy,SQL_SCALAR_FUNCTION,2025-12-17 16:56:06.727,2025-12-17 16:56:06.727
Fn_CheckAllowEditChamCongBaoGiang,SQL_SCALAR_FUNCTION,2019-08-20 17:04:16.100,2023-04-05 23:08:34.610
Fn_CheckConflictTietHoc,SQL_SCALAR_FUNCTION,2019-02-25 14:58:21.620,2023-04-05 23:08:34.627
Fn_CheckIsEnableCauHinhHeThong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:36.477,2023-04-05 23:08:34.657
Fn_CheckMonHocThuocChuyenNganhDaTotNghiep,SQL_TABLE_VALUED_FUNCTION,2024-07-11 17:09:58.323,2024-07-11 17:09:58.323
Fn_CheckNgayChamCongLichHocHopLe,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.790,2023-04-05 23:08:34.623
Fn_CheckPeriod,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.807,2023-04-05 23:08:34.623
Fn_CheckSinhVienTinChi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.830,2023-04-05 23:08:34.627
Fn_CheckSystemConfig,SQL_SCALAR_FUNCTION,2018-01-25 14:38:37.957,2023-04-05 23:08:34.617
Fn_CheckThiSinhTinChi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.847,2023-04-05 23:08:34.627
Fn_CheckTrangThaiSinhVienHopLe,SQL_TABLE_VALUED_FUNCTION,2021-08-09 18:11:08.187,2025-04-21 15:48:05.140
Fn_CheckUserAdmin,SQL_SCALAR_FUNCTION,2019-02-25 14:57:47.823,2023-04-05 23:08:34.593
Fn_CheckUserSubAdmin,SQL_SCALAR_FUNCTION,2023-05-23 17:41:10.380,2023-05-23 17:41:10.390
Fn_CheckValidMaHocPhan,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.870,2023-04-05 23:08:34.627
Fn_CheckValidTrungLichSinhVienChuyenLHP,SQL_TABLE_VALUED_FUNCTION,2026-02-25 18:57:36.397,2026-02-25 18:57:36.397
FN_CompactFullName,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.887,2023-04-05 23:08:34.630
Fn_CompareDiemChuanKetQuaThi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.903,2023-04-05 23:08:34.630
Fn_CompareIDKhoaChuanQuan,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.927,2023-04-05 23:08:34.630
Fn_CompareNgaySinh,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.950,2023-04-05 23:08:34.633
Fn_CompareNgaySinh2,SQL_SCALAR_FUNCTION,2025-10-22 22:28:35.747,2025-10-22 22:28:35.747
Fn_ComparePhong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.967,2023-04-05 23:08:34.633
Fn_CompareTuNgayDenNgay,SQL_SCALAR_FUNCTION,2018-01-25 14:38:46.983,2023-04-05 23:08:34.637
Fn_CompareTuTietDenTiet,SQL_SCALAR_FUNCTION,2018-01-25 14:38:47.007,2023-04-05 23:08:34.637
Fn_CompareTuTietDenTietCapPhong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:47.027,2023-04-05 23:08:34.640
Fn_CongNoSinhVienHocKyCu,SQL_TABLE_VALUED_FUNCTION,2023-12-15 17:24:17.360,2024-04-03 14:58:30.033
Fn_ConvertDiemKetQuaThi,SQL_SCALAR_FUNCTION,2018-01-25 14:38:47.043,2023-04-05 23:08:34.640
fn_ConvertNgaySinhTextToDate,SQL_SCALAR_FUNCTION,2025-10-22 22:28:35.743,2025-10-22 22:28:35.743
